Forest_NonForest,BGC,fieldcall,basemapunit,description,mapunit_ss_realm,mapunit_ss_association,mapunit_fnf,mapunit_nf
Forest,ESSFwmw,ESSFwmw/102,ESSFwmw/102,,ESSFwmw/102,ESSFwmw/102,forest ,forest 
Forest,ESSFwmw,ESSFwmw/103,ESSFwmw/103,,ESSFwmw/103,ESSFwmw/103,forest ,forest 
Forest,ESSFwmw,ESSFwmw/110,ESSFwmw/110,,ESSFwmw/110,ESSFwmw/110,forest ,forest 
Forest,ESSFwv,ESSFwv/01,ESSFwv/01,,ESSFwv/01,ESSFwv/01,forest ,forest 
Forest,ESSFwv,ESSFwv/02,ESSFwv/02,,ESSFwv/02,ESSFwv/02,forest ,forest 
Forest,ESSFwv,ESSFwv/03,ESSFwv/03,,ESSFwv/03,ESSFwv/03,forest ,forest 
Forest,ESSFwv,ESSFwv/04,ESSFwv/04,,ESSFwv/04,ESSFwv/04,forest ,forest 
Forest,ESSFwv,ESSFwv/05,ESSFwv/05,,ESSFwv/05,ESSFwv/05,forest ,forest 
Forest,ESSFwv,ESSFwv/06,ESSFwv/06,,ESSFwv/06,ESSFwv/06,forest ,forest 
Forest,ESSFwv,ESSFwv/07,ESSFwv/07,,ESSFwv/07,ESSFwv/07,forest ,forest 
Forest,ESSFwv,ESSFwv/08,ESSFwv/08,,ESSFwv/08,ESSFwv/08,forest ,forest 
Forest,ESSFwv,ESSFwv/09,ESSFwv/09,,ESSFwv/09,ESSFwv/09,forest ,forest 
Forest,ESSFwvw,ESSFwvw/101,ESSFwvw/101,,ESSFwvw/101,ESSFwvw/101,forest ,forest 
Forest,ESSFwvw,ESSFwvw/102,ESSFwvw/102,,ESSFwvw/102,ESSFwvw/102,forest ,forest 
Forest,ESSFwvw,ESSFwvw/103,ESSFwvw/103,,ESSFwvw/103,ESSFwvw/103,forest ,forest 
Forest,ESSFwvw,ESSFwvw/104,ESSFwvw/104,,ESSFwvw/104,ESSFwvw/104,forest ,forest 
Forest,ESSFwvw,ESSFwvw/105,ESSFwvw/105,,ESSFwvw/105,ESSFwvw/105,forest ,forest 
Forest,ESSFwvw,ESSFwvw/110,ESSFwvw/110,,ESSFwvw/110,ESSFwvw/110,forest ,forest 
Forest,ESSFwvw,ESSFwvw/111,ESSFwvw/111,,ESSFwvw/111,ESSFwvw/111,forest ,forest 
Forest,ESSFxc1,ESSFxc1/101,ESSFxc1/101,,ESSFxc1/101,ESSFxc1/101,forest ,forest 
Forest,ESSFxc1,ESSFxc1/102,ESSFxc1/102,,ESSFxc1/102,ESSFxc1/102,forest ,forest 
Forest,ESSFxc1,ESSFxc1/103,ESSFxc1/103,,ESSFxc1/103,ESSFxc1/103,forest ,forest 
Forest,ESSFxc1,ESSFxc1/104,ESSFxc1/104,,ESSFxc1/104,ESSFxc1/104,forest ,forest 
Forest,ESSFxc1,ESSFxc1/105,ESSFxc1/105,,ESSFxc1/105,ESSFxc1/105,forest ,forest 
Forest,ESSFxc1,ESSFxc1/110,ESSFxc1/110,,ESSFxc1/110,ESSFxc1/110,forest ,forest 
Forest,ESSFxc1,ESSFxc1/111,ESSFxc1/111,,ESSFxc1/111,ESSFxc1/111,forest ,forest 
Forest,ESSFxc1,ESSFxc1/112,ESSFxc1/112,,ESSFxc1/112,ESSFxc1/112,forest ,forest 
Forest,ESSFxc1,ESSFxc1/113,ESSFxc1/113,,ESSFxc1/113,ESSFxc1/113,forest ,forest 
Forest,ESSFxc2,ESSFxc2/101,ESSFxc2/101,,ESSFxc2/101,ESSFxc2/101,forest ,forest 
Forest,ESSFxc2,ESSFxc2/102,ESSFxc2/102,,ESSFxc2/102,ESSFxc2/102,forest ,forest 
Forest,ESSFxc2,ESSFxc2/103,ESSFxc2/103,,ESSFxc2/103,ESSFxc2/103,forest ,forest 
Forest,ESSFxc2,ESSFxc2/110,ESSFxc2/110,,ESSFxc2/110,ESSFxc2/110,forest ,forest 
Forest,ESSFxc2,ESSFxc2/111,ESSFxc2/111,,ESSFxc2/111,ESSFxc2/111,forest ,forest 
Forest,ESSFxc2,ESSFxc2/112,ESSFxc2/112,,ESSFxc2/112,ESSFxc2/112,forest ,forest 
Forest,ESSFxc3,ESSFxc3/01,ESSFxc3/01,,ESSFxc3/01,ESSFxc3/01,forest ,forest 
Forest,ESSFxc3,ESSFxc3/02,ESSFxc3/02,,ESSFxc3/02,ESSFxc3/02,forest ,forest 
Forest,ESSFxc3,ESSFxc3/03,ESSFxc3/03,,ESSFxc3/03,ESSFxc3/03,forest ,forest 
Forest,ESSFxc3,ESSFxc3/04,ESSFxc3/04,,ESSFxc3/04,ESSFxc3/04,forest ,forest 
Forest,ESSFxc3,ESSFxc3/05,ESSFxc3/05,,ESSFxc3/05,ESSFxc3/05,forest ,forest 
Forest,ESSFxc3,ESSFxc3/06,ESSFxc3/06,,ESSFxc3/06,ESSFxc3/06,forest ,forest 
Forest,ESSFxc3,ESSFxc3/07,ESSFxc3/07,,ESSFxc3/07,ESSFxc3/07,forest ,forest 
Forest,ESSFxc3,ESSFxc3/08,ESSFxc3/08,,ESSFxc3/08,ESSFxc3/08,forest ,forest 
Forest,ESSFxc3,ESSFxc3/09,ESSFxc3/09,,ESSFxc3/09,ESSFxc3/09,forest ,forest 
Forest,ESSFxc3,ESSFxc3/10,ESSFxc3/10,,ESSFxc3/10,ESSFxc3/10,forest ,forest 
Forest,ESSFxc3,ESSFxc3/11,ESSFxc3/11,,ESSFxc3/11,ESSFxc3/11,forest ,forest 
Forest,ESSFxv1,ESSFxv1/01,ESSFxv1/01,,ESSFxv1/01,ESSFxv1/01,forest ,forest 
Forest,ESSFxv1,ESSFxv1/02,ESSFxv1/02,,ESSFxv1/02,ESSFxv1/02,forest ,forest 
Forest,ESSFxv1,ESSFxv1/03,ESSFxv1/03,,ESSFxv1/03,ESSFxv1/03,forest ,forest 
Forest,ESSFxv1,ESSFxv1/04,ESSFxv1/04,,ESSFxv1/04,ESSFxv1/04,forest ,forest 
Forest,ESSFxv1,ESSFxv1/05,ESSFxv1/05,,ESSFxv1/05,ESSFxv1/05,forest ,forest 
Forest,ESSFxv1,ESSFxv1/06,ESSFxv1/06,,ESSFxv1/06,ESSFxv1/06,forest ,forest 
Forest,ESSFxv1,ESSFxv1/07,ESSFxv1/07,,ESSFxv1/07,ESSFxv1/07,forest ,forest 
Forest,ESSFxv1,ESSFxv1/08,ESSFxv1/08,,ESSFxv1/08,ESSFxv1/08,forest ,forest 
Forest,ESSFxv1,ESSFxv1/09,ESSFxv1/09,,ESSFxv1/09,ESSFxv1/09,forest ,forest 
Forest,ESSFxv2,ESSFxv2/01,ESSFxv2/01,,ESSFxv2/01,ESSFxv2/01,forest ,forest 
Forest,ESSFxv2,ESSFxv2/02,ESSFxv2/02,,ESSFxv2/02,ESSFxv2/02,forest ,forest 
Forest,ESSFxv2,ESSFxv2/03,ESSFxv2/03,,ESSFxv2/03,ESSFxv2/03,forest ,forest 
Forest,ESSFxv2,ESSFxv2/04,ESSFxv2/04,,ESSFxv2/04,ESSFxv2/04,forest ,forest 
Forest,ESSFxv2,ESSFxv2/05,ESSFxv2/05,,ESSFxv2/05,ESSFxv2/05,forest ,forest 
Forest,ESSFxv2,ESSFxv2/06,ESSFxv2/06,,ESSFxv2/06,ESSFxv2/06,forest ,forest 
Forest,ESSFxv2,ESSFxv2/07,ESSFxv2/07,,ESSFxv2/07,ESSFxv2/07,forest ,forest 
Forest,ESSFxv2,ESSFxv2/08,ESSFxv2/08,,ESSFxv2/08,ESSFxv2/08,forest ,forest 
Forest,ESSFxv2,ESSFxv2/09,ESSFxv2/09,,ESSFxv2/09,ESSFxv2/09,forest ,forest 
Forest,ESSFxv2,ESSFxv2/10,ESSFxv2/10,,ESSFxv2/10,ESSFxv2/10,forest ,forest 
NonForest,,,Ff,Fringe flood,F,Ff,nonforest,Ff
NonForest,,,Ff01,Water birch - Red-osier dogwood - Rose,F,Ff,nonforest,Ff01
NonForest,,,Ff01a,Water birch - Red-osier dogwood - Rose; Fringe phase,F,Ff,nonforest,Ff01a
NonForest,,,Ff01b,Water birch - Red-osier dogwood - Rose; Grassland draw phase,F,Ff,nonforest,Ff01b
NonForest,,,Ff02,Snowberry - Prairie Rose,F,Ff,nonforest,Ff02
NonForest,,,Ff03,Water birch - Rose - Giant wildrye,F,Ff,nonforest,Ff03
NonForest,,,Ff04,Aspen - Snowberry - Roses,F,Ff,nonforest,Ff04
NonForest,,,Ff05,Aspen - Dogwood - Nootka rose,F,Ff,nonforest,Ff05
NonForest,,,Fl,Low bench flood,F,Fl,nonforest,Fl
NonForest,,,Fl01,Mountain alder - Common horsetail,F,Fl,nonforest,Fl01
NonForest,,,Fl02,Mountain alder - Red-osier dogwood - Horsetail,F,Fl,nonforest,Fl02
NonForest,,,Fl03,Pacific willow - Red-osier dogwood - Horsetail,F,Fl,nonforest,Fl03
NonForest,,,Fl04,Sitka willow - Red-osier dogwood - Horsetail,F,Fl,nonforest,Fl04
NonForest,,,Fl05,Drummond's willow - Bluejoint,F,Fl,nonforest,Fl05
NonForest,,,Fl06,Sandbar willow,F,Fl,nonforest,Fl06
NonForest,,,Fl07,Water birch - Rose,F,Fl,nonforest,Fl07
NonForest,,,Fm,Medium bench flood,F,Fm,nonforest,Fm
NonForest,,,Fm01,Cottonwood - Snowberry - Rose,F,Fm,nonforest,Fm01
NonForest,,,Fm02,Cottonwood - Spruce - Dogwood,F,Fm,nonforest,Fm02
NonForest,,,Fm04,Cottonwood - Subalpine fir - Devil's club,F,Fm,nonforest,Fm04
NonForest,,,Fm05,Cottonwood - Douglas-fir - Douglas maple - Snowberry,F,Fm,nonforest,Fm05
NonForest,,,Fm06,Cottonwood - Poison ivy - Rose,F,Fm,nonforest,Fm06
NonForest,,,Fm07,Aspen - Dogwood - Sarsaparilla,F,Fm,nonforest,Fm07
NonForest,,,Fm20,AcbSw - Mountain alder - Dogwood,F,Fm,nonforest,Fm20
NonForest,,,Ga,Alkaline meadow,G,Ga,nonforest,Ga
NonForest,,,Ga01,Saltgrass,G,Ga,nonforest,Ga01
NonForest,,,Ga01.1,Saltgrass,G,Ga,nonforest,Ga01.1
NonForest,,,Ga01.2,Alkali saltgrass - Spartina,G,Ga,nonforest,Ga01.2
NonForest,,,Ga02,Nuttall's alkaligrass - Foxtail barley,G,Ga,nonforest,Ga02
NonForest,,,Ga02.1,Nuttall's alkaligrass - Foxtail barley,G,Ga,nonforest,Ga02.1
NonForest,,,Ga02.2,Foxtail barley - Nuttall's alkaligrass,G,Ga,nonforest,Ga02.2
NonForest,,,Ga03,Field sedge,G,Ga,nonforest,Ga03
NonForest,,,Ga05,Giant wildrye,G,Ga,nonforest,Ga05
NonForest,,,Ga06,Seablite,G,Ga,nonforest,Ga06
NonForest,,,Ga07,Red glasswort,G,Ga,nonforest,Ga07
NonForest,,,Gb,Brushland,G,Gb,nonforest,Gb
NonForest,,,Gb01,Juniper - Kinnikinnick - Bluebunch wheatgrass,G,Gb,nonforest,Gb01
NonForest,,,Gb02,Saskatoon - Snowberry - Bluebunch wheatgrass,G,Gb,nonforest,Gb02
NonForest,,,Gb03,Ninebark - Oceanspray - Bluebunch wheatgrass,G,Gb,nonforest,Gb03
NonForest,,,Gb04,Choke cherry - Snowberry - Bluebunch wheatgrass,G,Gb,nonforest,Gb04
NonForest,,,Gb05,Sumac - Bluebunch wheatgrass,G,Gb,nonforest,Gb05
NonForest,,,Gb06,Snowbrush - Poverty oatgrass,G,Gb,nonforest,Gb06
NonForest,,,Gb20,Saskatoon - Soopolallie - Juniper,G,Gb,nonforest,Gb20
NonForest,,,Gb21,Juniper - Kinnikinnick - Strawberry,G,Gb,nonforest,Gb21
NonForest,,,Gb51,Saskatoon - Blue wildrye,G,Gb,nonforest,Gb51
NonForest,,,Gb52,Prickly rose - Fuzzy-spiked wildrye,G,Gb,nonforest,Gb52
NonForest,,,Gg,Grassland,G,Gg,nonforest,Gg
NonForest,,,Gg01,Bluebunch wheatgrass - Prairie sagewort - Junegrass,G,Gg,nonforest,Gg01
NonForest,,,Gg02,Bluebunch wheatgrass - Balsamroot,G,Gg,nonforest,Gg02
NonForest,,,Gg03,Bluebunch wheatgrass - Selaginella,G,Gg,nonforest,Gg03
NonForest,,,Gg04,Bluebunch wheatgrass - Junegrass - Pussytoes,G,Gg,nonforest,Gg04
NonForest,,,Gg10,Rough fescue - Bluebunch wheatgrass,G,Gg,nonforest,Gg10
NonForest,,,Gg11,Idaho fescue - Bluebunch wheatgrass - Junegrass,G,Gg,nonforest,Gg11
NonForest,,,Gg12,Rough fescue - Yarrow - Three-flowered avens,G,Gg,nonforest,Gg12
NonForest,,,Gg12.1,Rough fescue - Yarrow - Three-flowered avens,G,Gg,nonforest,Gg12.1
NonForest,,,Gg13,Idaho fescue - Silky lupine,G,Gg,nonforest,Gg13
NonForest,,,Gg14,Idaho fescue - Sulphur buckwheat - Sandwort,G,Gg,nonforest,Gg14
NonForest,,,Gg15,Rough fescue - Idaho fescue,G,Gg,nonforest,Gg15
NonForest,,,Gg15a,Rough fescue - Idaho fescue,G,Gg,nonforest,Gg15a
NonForest,,,Gg15b,Rough fescue - Idaho fescue,G,Gg,nonforest,Gg15b
NonForest,,,Gg16,Rough fescue - Sulphur buckwheat - Sandwort,G,Gg,nonforest,Gg16
NonForest,,,Gg17,Idaho fescue - Bluebunch wheatgrass - Sulphur buckwheat,G,Gg,nonforest,Gg17
NonForest,,,Gg18,Idaho fescue - Bluebunch wheatgrass - Selaginella,G,Gg,nonforest,Gg18
NonForest,,,Gg20,Spreading needlegrass - Short-awned porcupinegrass,G,Gg,nonforest,Gg20
NonForest,,,Gg21,Spreading needlegrass - Rocky Mountain fescue,G,Gg,nonforest,Gg21
NonForest,,,Gg21a,Spreading needlegrass - Rocky Mountain fescue; Depression phase,G,Gg,nonforest,Gg21a
NonForest,,,Gg21b,Spreading needlegrass - Rocky Mountain fescue; Forest Edge phase,G,Gg,nonforest,Gg21b
NonForest,,,Gg22,Spreading needlegrass - Northern bedstraw,G,Gg,nonforest,Gg22
NonForest,,,Gg22a,Spreading needlegrass - Northern bedstraw; Depression phase,G,Gg,nonforest,Gg22a
NonForest,,,Gg22b,Spreading needlegrass - Northern bedstraw; Forest Edge phase,G,Gg,nonforest,Gg22b
NonForest,,,Gg24,Short-awned pocupinegrass - Junegrass - Clad lichen,G,Gg,nonforest,Gg24
NonForest,,,Gg25,Sand dropseed - Needle-and-thread grass,G,Gg,nonforest,Gg25
NonForest,,,Gg26,Red three-awn - Needle-and-thread grass,G,Gg,nonforest,Gg26
NonForest,,,Gg27,Needle-and-thread grass - Prairie sagewort,G,Gg,nonforest,Gg27
NonForest,,,Gg28,Sand needlegrass - Sand dropseed,G,Gg,nonforest,Gg28
NonForest,,,Gg32,Pinegrass - Kinnikinnick,G,Gg,nonforest,Gg32
NonForest,,,Gg33,Pinegrass - Yellow penstemon,G,Gg,nonforest,Gg33
NonForest,,,Gg34,Junegrass - Kinnikinnick,G,Gg,nonforest,Gg34
NonForest,,,Gg51,Slender wheatgrass - Pasture sage,G,Gg,nonforest,Gg51
NonForest,,,Gs,Shrub-steppe,G,Gs,nonforest,Gs
NonForest,,,Gs01,Shrub-steppe,G,Gs,nonforest,Gs01
NonForest,,,Gs02,Big sagebrush - Bluebunch wheatgrass,G,Gs,nonforest,Gs02
NonForest,,,Gs02a,Big sagebrush - Bluebunch wheatgrass - Sand dropseed,G,Gs,nonforest,Gs02a
NonForest,,,Gs02b,Big sagebrush - Bluebunch wheatgrass - Sand dropseed,G,Gs,nonforest,Gs02b
NonForest,,,Gs03,Big sagebrush - Bluebunch wheatgrass - Screw moss,G,Gs,nonforest,Gs03
NonForest,,,Gs04,Mountain sagebrush - Bluebunch wheatgrass,G,Gs,nonforest,Gs04
NonForest,,,Gs05,Rocky Mountain juniper - Big sagebrush - Bluebunch wheatgrass,G,Gs,nonforest,Gs05
NonForest,,,Gs06,Mountain sagebrush - Pinegrass - Idaho Fescue,G,Gs,nonforest,Gs06
NonForest,,,Gs10,Antelope-brush - Bluebunch wheatgrass,G,Gs,nonforest,Gs10
NonForest,,,Gs11,Antelope-brush - Bluebunch wheatgrass - Red three-awn,G,Gs,nonforest,Gs11
NonForest,,,Gs12,Antelope-brush - Snowberry - Bluebunch wheatgrass,G,Gs,nonforest,Gs12
NonForest,,,Gs13,Antelope-brush - Prairie sandgrass,G,Gs,nonforest,Gs13
Forest,ICHdk,ICHdk/01,ICHdk/01,,ICHdk/01,ICHdk/01,forest ,forest 
Forest,ICHdk,ICHdk/02,ICHdk/02,,ICHdk/02,ICHdk/02,forest ,forest 
Forest,ICHdk,ICHdk/02a,ICHdk/02a,,ICHdk/02,ICHdk/02,forest ,forest 
Forest,ICHdk,ICHdk/02b,ICHdk/02b,,ICHdk/02,ICHdk/02,forest ,forest 
Forest,ICHdk,ICHdk/03,ICHdk/03,,ICHdk/03,ICHdk/03,forest ,forest 
Forest,ICHdk,ICHdk/04,ICHdk/04,,ICHdk/04,ICHdk/04,forest ,forest 
Forest,ICHdk,ICHdk/05,ICHdk/05,,ICHdk/05,ICHdk/05,forest ,forest 
Forest,ICHdk,ICHdk/06,ICHdk/06,,ICHdk/06,ICHdk/06,forest ,forest 
Forest,ICHdk,ICHdk/07,ICHdk/07,,ICHdk/07,ICHdk/07,forest ,forest 
Forest,ICHdk,ICHdk/08,ICHdk/08,,ICHdk/08,ICHdk/08,forest ,forest 
Forest,ICHdk,ICHdk/09,ICHdk/09,,ICHdk/09,ICHdk/09,forest ,forest 
Forest,ICHdm,ICHdm/101,ICHdm/101,,ICHdm/101,ICHdm/101,forest ,forest 
Forest,ICHdm,ICHdm/102,ICHdm/102,,ICHdm/102,ICHdm/102,forest ,forest 
Forest,ICHdm,ICHdm/102a,ICHdm/102a,,ICHdm/102,ICHdm/102,forest ,forest 
Forest,ICHdm,ICHdm/102b,ICHdm/102b,,ICHdm/102,ICHdm/102,forest ,forest 
Forest,ICHdm,ICHdm/103,ICHdm/103,,ICHdm/103,ICHdm/103,forest ,forest 
Forest,ICHdm,ICHdm/110,ICHdm/110,,ICHdm/110,ICHdm/110,forest ,forest 
Forest,ICHdm,ICHdm/111,ICHdm/111,,ICHdm/111,ICHdm/111,forest ,forest 
Forest,ICHdm,ICHdm/112,ICHdm/112,,ICHdm/112,ICHdm/112,forest ,forest 
Forest,ICHdw1,ICHdw1/113,ICHdw1/113,,ICHdw1/113,ICHdw1/113,forest ,forest 
Forest,ICHdw4,ICHdw4/101,ICHdw4/101,,ICHdw4/101,ICHdw4/101,forest ,forest 
Forest,ICHdw4,ICHdw4/102,ICHdw4/102,,ICHdw4/102,ICHdw4/102,forest ,forest 
Forest,ICHdw4,ICHdw4/103,ICHdw4/103,,ICHdw4/103,ICHdw4/103,forest ,forest 
Forest,ICHdw4,ICHdw4/104,ICHdw4/104,,ICHdw4/104,ICHdw4/104,forest ,forest 
Forest,ICHdw4,ICHdw4/110,ICHdw4/110,,ICHdw4/110,ICHdw4/110,forest ,forest 
Forest,ICHdw4,ICHdw4/110.1,ICHdw4/110.1,,ICHdw4/110,ICHdw4/110,forest ,forest 
Forest,ICHdw4,ICHdw4/110.2,ICHdw4/110.2,,ICHdw4/110,ICHdw4/110,forest ,forest 
Forest,ICHdw4,ICHdw4/111,ICHdw4/111,,ICHdw4/111,ICHdw4/111,forest ,forest 
Forest,ICHdw4,ICHdw4/112,ICHdw4/112,,ICHdw4/112,ICHdw4/112,forest ,forest 
Forest,ICHmc1,ICHmc1/01,ICHmc1/01,,ICHmc1/01,ICHmc1/01,forest ,forest 
Forest,ICHmc1,ICHmc1/01a,ICHmc1/01a,,ICHmc1/01,ICHmc1/01,forest ,forest 
Forest,ICHmc1,ICHmc1/01b,ICHmc1/01b,,ICHmc1/01,ICHmc1/01,forest ,forest 
Forest,ICHmc1,ICHmc1/02,ICHmc1/02,,ICHmc1/02,ICHmc1/02,forest ,forest 
Forest,ICHmc1,ICHmc1/03,ICHmc1/03,,ICHmc1/03,ICHmc1/03,forest ,forest 
Forest,ICHmc1,ICHmc1/04,ICHmc1/04,,ICHmc1/04,ICHmc1/04,forest ,forest 
Deciduous,ICHmc1,ICHmc1/05,ICHmc1/05,,ICHmc1/05,ICHmc1/05,forest ,forest 
Forest,ICHmc1,ICHmc1/06,ICHmc1/06,,ICHmc1/06,ICHmc1/06,forest ,forest 
Forest,ICHmc1,ICHmc1/07,ICHmc1/07,,ICHmc1/07,ICHmc1/07,forest ,forest 
Forest,ICHmc1a,ICHmc1a/01,ICHmc1a/01,,ICHmc1a/01,ICHmc1a/01,forest ,forest 
Forest,ICHmc1a,ICHmc1a/01a,ICHmc1a/01a,,ICHmc1a/01,ICHmc1a/01,forest ,forest 
Forest,ICHmc1a,ICHmc1a/01b,ICHmc1a/01b,,ICHmc1a/01,ICHmc1a/01,forest ,forest 
Forest,ICHmc1a,ICHmc1a/02,ICHmc1a/02,,ICHmc1a/02,ICHmc1a/02,forest ,forest 
Forest,ICHmc1a,ICHmc1a/03,ICHmc1a/03,,ICHmc1a/03,ICHmc1a/03,forest ,forest 
Forest,ICHmc2,ICHmc2/01,ICHmc2/01,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01.1,ICHmc2/01.1,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01.2,ICHmc2/01.2,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01a,ICHmc2/01a,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01a.1,ICHmc2/01a.1,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01a.2,ICHmc2/01a.2,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01b,ICHmc2/01b,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01b.1,ICHmc2/01b.1,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/01b.2,ICHmc2/01b.2,,ICHmc2/01,ICHmc2/01,forest ,forest 
Forest,ICHmc2,ICHmc2/02,ICHmc2/02,,ICHmc2/02,ICHmc2/02,forest ,forest 
Forest,ICHmc2,ICHmc2/03,ICHmc2/03,,ICHmc2/03,ICHmc2/03,forest ,forest 
Forest,ICHmc2,ICHmc2/04,ICHmc2/04,,ICHmc2/04,ICHmc2/04,forest ,forest 
Forest,ICHmc2,ICHmc2/05,ICHmc2/05,,ICHmc2/05,ICHmc2/05,forest ,forest 
Deciduous,ICHmc2,ICHmc2/06,ICHmc2/06,,ICHmc2/06,ICHmc2/06,forest ,forest 
Deciduous,ICHmc2,ICHmc2/06a,ICHmc2/06a,,ICHmc2/06,ICHmc2/06,forest ,forest 
Deciduous,ICHmc2,ICHmc2/06b,ICHmc2/06b,,ICHmc2/06,ICHmc2/06,forest ,forest 
Forest,ICHmc2,ICHmc2/07,ICHmc2/07,,ICHmc2/07,ICHmc2/07,forest ,forest 
Forest,ICHmc2,ICHmc2/08,ICHmc2/08,,ICHmc2/08,ICHmc2/08,forest ,forest 
Forest,ICHmc2,ICHmc2/09,ICHmc2/09,,ICHmc2/09,ICHmc2/09,forest ,forest 
Forest,ICHmc2,ICHmc2/10,ICHmc2/10,,ICHmc2/10,ICHmc2/10,forest ,forest 
Forest,ICHmc2,ICHmc2/11,ICHmc2/11,,ICHmc2/11,ICHmc2/11,forest ,forest 
Forest,ICHmc2,ICHmc2/12,ICHmc2/12,,ICHmc2/12,ICHmc2/12,forest ,forest 
NonForest,ICHmc2,ICHmc2/55,ICHmc2/55,,ICHmc2/55,ICHmc2/55,forest ,forest 
NonForest,ICHmc2,ICHmc2/56,ICHmc2/56,,ICHmc2/56,ICHmc2/56,forest ,forest 
Forest,ICHmk1,ICHmk1/101,ICHmk1/101,,ICHmk1/101,ICHmk1/101,forest ,forest 
Forest,ICHmk1,ICHmk1/102,ICHmk1/102,,ICHmk1/102,ICHmk1/102,forest ,forest 
Forest,ICHmk1,ICHmk1/103,ICHmk1/103,,ICHmk1/103,ICHmk1/103,forest ,forest 
Forest,ICHmk1,ICHmk1/104,ICHmk1/104,,ICHmk1/104,ICHmk1/104,forest ,forest 
Forest,ICHmk1,ICHmk1/105,ICHmk1/105,,ICHmk1/105,ICHmk1/105,forest ,forest 
Forest,ICHmk1,ICHmk1/110,ICHmk1/110,,ICHmk1/110,ICHmk1/110,forest ,forest 
Forest,ICHmk1,ICHmk1/111,ICHmk1/111,,ICHmk1/111,ICHmk1/111,forest ,forest 
Forest,ICHmk1,ICHmk1/112,ICHmk1/112,,ICHmk1/112,ICHmk1/112,forest ,forest 
Forest,ICHmk2,ICHmk2/01,ICHmk2/01,,ICHmk2/01,ICHmk2/01,forest ,forest 
Forest,ICHmk2,ICHmk2/02,ICHmk2/02,,ICHmk2/02,ICHmk2/02,forest ,forest 
Forest,ICHmk2,ICHmk2/03,ICHmk2/03,,ICHmk2/03,ICHmk2/03,forest ,forest 
Forest,ICHmk2,ICHmk2/04,ICHmk2/04,,ICHmk2/04,ICHmk2/04,forest ,forest 
Forest,ICHmk2,ICHmk2/05,ICHmk2/05,,ICHmk2/05,ICHmk2/05,forest ,forest 
Forest,ICHmk2,ICHmk2/06,ICHmk2/06,,ICHmk2/06,ICHmk2/06,forest ,forest 
Forest,ICHmk3,ICHmk3/01,ICHmk3/01,,ICHmk3/01,ICHmk3/01,forest ,forest 
Forest,ICHmk3,ICHmk3/02,ICHmk3/02,,ICHmk3/02,ICHmk3/02,forest ,forest 
Forest,ICHmk3,ICHmk3/03,ICHmk3/03,,ICHmk3/03,ICHmk3/03,forest ,forest 
Forest,ICHmk3,ICHmk3/04,ICHmk3/04,,ICHmk3/04,ICHmk3/04,forest ,forest 
Forest,ICHmk3,ICHmk3/05,ICHmk3/05,,ICHmk3/05,ICHmk3/05,forest ,forest 
Forest,ICHmk3,ICHmk3/06,ICHmk3/06,,ICHmk3/06,ICHmk3/06,forest ,forest 
Forest,ICHmk3,ICHmk3/07,ICHmk3/07,,ICHmk3/07,ICHmk3/07,forest ,forest 
Forest,ICHmk3,ICHmk3/08,ICHmk3/08,,ICHmk3/08,ICHmk3/08,forest ,forest 
Forest,ICHmk4,ICHmk4/101,ICHmk4/101,,ICHmk4/101,ICHmk4/101,forest ,forest 
Forest,ICHmk4,ICHmk4/102,ICHmk4/102,,ICHmk4/102,ICHmk4/102,forest ,forest 
Forest,ICHmk4,ICHmk4/102a,ICHmk4/102a,,ICHmk4/102,ICHmk4/102,forest ,forest 
Forest,ICHmk4,ICHmk4/102b,ICHmk4/102b,,ICHmk4/102,ICHmk4/102,forest ,forest 
Forest,ICHmk4,ICHmk4/103,ICHmk4/103,,ICHmk4/103,ICHmk4/103,forest ,forest 
Forest,ICHmk4,ICHmk4/110,ICHmk4/110,,ICHmk4/110,ICHmk4/110,forest ,forest 
Forest,ICHmk4,ICHmk4/111,ICHmk4/111,,ICHmk4/111,ICHmk4/111,forest ,forest 
Forest,ICHmk4,ICHmk4/112,ICHmk4/112,,ICHmk4/112,ICHmk4/112,forest ,forest 
Forest,ICHmk5,ICHmk5/101,ICHmk5/101,,ICHmk5/101,ICHmk5/101,forest ,forest 
Forest,ICHmk5,ICHmk5/102,ICHmk5/102,,ICHmk5/102,ICHmk5/102,forest ,forest 
Forest,ICHmk5,ICHmk5/103,ICHmk5/103,,ICHmk5/103,ICHmk5/103,forest ,forest 
Forest,ICHmk5,ICHmk5/104,ICHmk5/104,,ICHmk5/104,ICHmk5/104,forest ,forest 
